API Manager                   ,APIM
APP Manager                   ,APPM
Application Server            ,AS
Business Activity Monitor     ,BAM
Business Process Server       ,BPS
Business Rules Server         ,BRS
Complex Event Processor       ,CEP
Cloud Gateway                 ,CG
Data Analytics Server         ,DAS
Data Services Server          ,DSS
Enterprise Integrator         ,EI
Enterprise Mobility Management,EMM
Enterprise Store              ,ES
Enterprise Service Bus        ,ESB
Governance Registry           ,GReg
Identity Server               ,IS
Message Broker                ,MB
Machine Learner               ,ML
Micro Services Server         ,MSS
Private PAAS                  ,PPAAS
Single Sign On                ,SSO
Subversion                    ,svn
User Engagement Server        ,UES
