2leggedoauth                                                                                                                                                                                   ,2-legged OAuth
<bps_home>                                                                                                                                                                                     ,<BPS_HOME>
<deploymentsynchronizer>                                                                                                                                                                       ,<DeploymentSynchronizer>
<hostip>                                                                                                                                                                                       ,<hostIP>
<message_id>                                                                                                                                                                                   ,<MESSAGE_ID>
<partnerlinks/>                                                                                                                                                                                ,<partnerLinks/>
<proxy_service_name>                                                                                                                                                                           ,<PROXY_SERVICE_NAME>
access                                                                                                                                                                                         ,Access
accesscontrol                                                                                                                                                                                  ,Access control
accesstoken                                                                                                                                                                                    ,Access Token
account                                                                                                                                                                                        ,ACCOUNT
accountid                                                                                                                                                                                      ,AccountID
acknowledgement                                                                                                                                                                                ,Acknowledgement
acknowledgementhandling                                                                                                                                                                        ,Acknowledgement Handling
acknowledgementpattern                                                                                                                                                                         ,Acknowledgement Pattern
acknowledgment                                                                                                                                                                                 ,acknowledgment
action                                                                                                                                                                                         ,action
activate/deactivatemessageprocessor                                                                                                                                                            ,activate/deactivate message processor
activesparkcontext                                                                                                                                                                             ,active Sparkcontext
activemq                                                                                                                                                                                       ,ActiveMQ
activemqqueue                                                                                                                                                                                  ,ActiveMQ queue
activemqspecificproperty                                                                                                                                                                       ,ActiveMQ-specific property
activiti                                                                                                                                                                                       ,activiti
activitidatasource                                                                                                                                                                             ,Activiti Datasource
activitidatasources                                                                                                                                                                            ,activiti-datasources
activity                                                                                                                                                                                       ,activity
actor                                                                                                                                                                                          ,actor
actualservice                                                                                                                                                                                  ,Actual Service
add/removecase                                                                                                                                                                                 ,Add/Remove Case
add/removeconnector                                                                                                                                                                            ,Add/Remove Connector
additionaljmsmessagestoreparameter                                                                                                                                                             ,Additional JMS message store parameter
additionalparameter                                                                                                                                                                            ,Additional Parameter
additionalrabbitmqmessagestoreparameter                                                                                                                                                        ,Additional RabbitMQ message store parameter
address                                                                                                                                                                                        ,Address
addressendpoint                                                                                                                                                                                ,address endpoint
addressendpointattribute                                                                                                                                                                       ,Address endpoint attribute
addressendpointtemplate                                                                                                                                                                        ,Address Endpoint Template
admin                                                                                                                                                                                          ,admin
adminguide                                                                                                                                                                                     ,admin guide
admintask                                                                                                                                                                                      ,Admin Task
adminusername                                                                                                                                                                                  ,Admin Username
admin/configure                                                                                                                                                                                ,Admin/Configure
admin/configure/security                                                                                                                                                                       ,Admin/Configure/Security
admin/manage/resources                                                                                                                                                                         ,Admin/Manage/Resources
administrationanalyticsprofile                                                                                                                                                                 ,Administration Analytics Profile
administrationbusiness                                                                                                                                                                         ,Administration Business
administrationesbprofile                                                                                                                                                                       ,Administration ESB Profile
administrationmbprofile                                                                                                                                                                        ,Administration MB Profile
administrator                                                                                                                                                                                  ,Administrator
advancedapproach                                                                                                                                                                               ,Advanced approach
advancedcallbackproperty                                                                                                                                                                       ,Advanced Callback Property
advancedconfiguration                                                                                                                                                                          ,Advanced Configuration
advancedfiltering                                                                                                                                                                              ,Advanced Filtering
advancedmessagequeuingprotocol                                                                                                                                                                 ,Advanced Message Queuing Protocol
advancedoption                                                                                                                                                                                 ,advanced option
advancedtopic                                                                                                                                                                                  ,Advanced Topic
aggregatemediator                                                                                                                                                                              ,Aggregate mediator
alias                                                                                                                                                                                          ,Alias
amqp                                                                                                                                                                                           ,AMQP
amqpreceiver                                                                                                                                                                                   ,AMQP receiver
amqpsender                                                                                                                                                                                     ,AMQP sender
amqpsupport                                                                                                                                                                                    ,AMQP Support
amqptransport                                                                                                                                                                                  ,AMQP transport
analytics                                                                                                                                                                                      ,Analytics
analyticsdashboard                                                                                                                                                                             ,Analytics Dashboard
analyticsprofile                                                                                                                                                                               ,Analytics profile
ant                                                                                                                                                                                            ,ant
ap                                                                                                                                                                                             ,AP
apacheant                                                                                                                                                                                      ,Apache Ant
apacheaxiom                                                                                                                                                                                    ,Apache AXIOM
apacheaxis2architectureguide                                                                                                                                                                   ,Apache Axis2 Architecture Guide
apached                                                                                                                                                                                        ,Apache D
apachederby                                                                                                                                                                                    ,Apache Derby
apachederbydocumentation                                                                                                                                                                       ,Apache Derby documentation
apachekafka                                                                                                                                                                                    ,Apache Kafka
apachekafkadocumentation                                                                                                                                                                       ,Apache Kafka documentation
apachemaven                                                                                                                                                                                    ,Apache Maven
apachesoftwarelicenseversion                                                                                                                                                                   ,Apache Software License Version
apachetomcat                                                                                                                                                                                   ,Apache Tomcat
api                                                                                                                                                                                            ,API
apiintegration                                                                                                                                                                                 ,API Integration
apiname                                                                                                                                                                                        ,API Name
apirequestcount                                                                                                                                                                                ,API Request Count
apiresource                                                                                                                                                                                    ,API resource
app                                                                                                                                                                                            ,App
arbitraryattribute                                                                                                                                                                             ,Arbitrary Attribute
architectureguide                                                                                                                                                                              ,Architecture Guide
archivefile                                                                                                                                                                                    ,Archive File
args                                                                                                                                                                                           ,Args
argument                                                                                                                                                                                       ,Argument
article                                                                                                                                                                                        ,article
artifact                                                                                                                                                                                       ,Artifact
artifactfile                                                                                                                                                                                   ,artifact file
as5.3.0                                                                                                                                                                                        ,AS 5.3.0
assignee                                                                                                                                                                                       ,Assignee
asymmetricencryption                                                                                                                                                                           ,Asymmetric Encryption
asynchronousinvocation                                                                                                                                                                         ,Asynchronous Invocation
asynchronousserviceinvocation                                                                                                                                                                  ,Asynchronous Service Invocation
attribute                                                                                                                                                                                      ,Attribute
attributename                                                                                                                                                                                  ,Attribute Name
attributetype                                                                                                                                                                                  ,attribute type
attributevalue                                                                                                                                                                                 ,Attribute Value
authentication                                                                                                                                                                                 ,authentication
authenticationplugin                                                                                                                                                                           ,authentication plugin
authorization                                                                                                                                                                                  ,authorization
authorizationmanager                                                                                                                                                                           ,Authorization Manager
automaticacknowledgement                                                                                                                                                                       ,Automatic Acknowledgement
availablesample                                                                                                                                                                                ,available sample
availabletemplate                                                                                                                                                                              ,Available Template
averageexecutiontime                                                                                                                                                                           ,Average Execution Time
averageresponsetime                                                                                                                                                                            ,Average Response Time
averagetaskcompletiontime                                                                                                                                                                      ,Average Task Completion Time
averagetaskexecutiontime                                                                                                                                                                       ,Average Task Execution Time
axiomuserguide                                                                                                                                                                                 ,AXIOM user guide
axis2                                                                                                                                                                                          ,Axis2
axis2executionframework                                                                                                                                                                        ,Axis2 Execution Framework
axis2module                                                                                                                                                                                    ,Axis2 Module
axis2property                                                                                                                                                                                  ,Axis2 Property
axis2repository                                                                                                                                                                                ,Axis2 Repository
axis2scope                                                                                                                                                                                     ,axis2 scope
axis2server                                                                                                                                                                                    ,Axis2 server
